词,词频
好吃,32
想吃,22
漂亮饭,10
鹅肝,8
他家,6
好看,6
长沙,6
不错,5
人,5
一次,5
试试,5
看着,5
会,5
想去,5
好漂亮,5
评论,4
餐厅,4
做,4
特别,4
能,4
点,4
多,4
码住,4
我要,4
不好吃,4
饿,4
爱,4
怎么样,4
名字,4
青岛,4
