原文,情感得分,情感倾向
 好漂亮,1,正面
这好漂亮,1,正面
好漂亮我晕,1,正面
 漂亮饭！！,0,中性
还有这个这个！好好吃，还好可爱才几块钱,2,正面
wkkkk！女大学生在此，超爱吃泰国菜！！等我明天去测评一下,0,中性
常德好像也有，是一家吗,0,中性
收烂钱了，真的一般,-1,负面
吃到了吃到了！！！好好吃啊！！！,1,正面
画好的图,0,中性
蹲11.10.11.11搭子,0,中性
这个甜品看着就好好吃,1,正面
现在离开长沙给我整这个？几天在长沙不推荐？要不然早吃了 省的饿肚子,-2,负面
问问价格怎么样呀？,0,中性
画好的图,0,中性
这个看起来好看但是好像不怎么好吃,2,正面
麦如真的是吃了几年都吃不腻的店了,0,中性
漂亮饭！,0,中性
隔壁小森家的 也好吃,1,正面
daydream旁边就是那家很火的网红小馆小森食堂，但是他俩的招牌菜单一样哎，上次跟朋友没排到小森就去隔壁了，确实还不错,2,正面
后湖的什么先森 超好吃！,1,正面
漂亮饭@365夜故事,0,中性
北辰三角洲的漂亮饭,0,中性
漂亮饭,0,中性
第一家后湖的吃过啦真的好好吃,1,正面
 想吃,1,正面
蹲个价格侠,0,中性
这几家店 哪家拍照更出片一点啊,1,正面
避雷第六家乐刻时，服务态度差，吃完直接就窜了，直犯恶心,-4,负面
漂亮饭！,0,中性
价格怎么样,0,中性
 明天想去呀吃美味漂亮🍚,2,正面
漂亮饭,0,中性
看这个漂亮饭，就是有点远,0,中性
@困困困了 我们是不是去过第一家！,0,中性
乐刻时真的好吃，吃了几次了，我朋友生日都是在那里过的,1,正面
漂亮饭,0,中性
每个都想吃,1,正面
漂亮的饭,1,正面
好有食欲好有氛围感,2,正面
你简直就是长沙活地图啊～老是能在长沙找到很多宝藏地方，我先关注，怕下次找不到了,1,正面
48一份你管它叫穷鬼饭这个价位在长沙很难开下去,0,中性
是这个吗,0,中性
博主有没有好的酒店推荐啊,1,正面
 我靠,0,中性
我想去吃这个,0,中性
找半天找不到店名…,0,中性
位置在哪里啊,0,中性
这个在长沙哪里啊！！！叫什么名字店名求求了,0,中性
这个在哪里呀,0,中性
在哪,0,中性
求指路,0,中性
均价多少啊,0,中性
@22 我也好想吃,1,正面
这个店在哪 什么时候打烊,0,中性
好吃吗,1,正面
在哪啊,0,中性
这家叫什么呀,0,中性
这是哪里啊,0,中性
 那个蓝色的和芭菲杯看起来好好吃哦,1,正面
好漂亮,1,正面
好贵这个,-1,负面
你们俩,0,中性
有没有地址,0,中性
多少钱两人份,0,中性
店地址在哪,0,中性
贵死啦,-1,负面
这个这个这个是我最爱吃的白人饭,1,正面
哈哈哈,0,中性
这个在北城三角洲那边,0,中性
哪个家店呢,0,中性
人均多少啊,0,中性
地址,0,中性
这个店在哪里,0,中性
马上来,0,中性
近几年很爱的一家西餐小酒馆 每次来都能碰到很多外国人 可能是同样喜欢这种氛围和餐品 Tapas拼盘、意面、甜虾薄片做的都很漂亮☺️ 还有专业的侍酒师讲解葡萄酒🥂 真的是在青岛吃到的很舒服的一餐了~ ,2,正面
姐妹！那个牛舌！也嘎嘎好吃特别嫩的那种！！！,3,正面
